epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.00959,2.93826,4.75009,4.88363,1.60385,0,0,0,0,0,0,0,0,3.12783,5.44853,5.12401,1.80577,0.0885083,0.000175,0.000175
2,14.0154,3.19237,8.20691,4.27942,1.50886,0.04074,0.08482,0.03883,0.01391,0,0,0,0,4.30059,42.2702,11.7593,1.21739,0.0761958,0.000362486,0.000362486
3,20.4184,3.43326,8.48989,3.43931,1.71172,0.13951,0.04911,0.08905,0.0435,0,0,0,0,3.34862,10.5257,48.7524,1.45044,0.0638832,0.000549914,0.000549914
4,27.0402,3.27248,13.4432,3.94844,1.58031,0.26178,0.2312,0.19003,0.08182,0,0,0,0,3.33807,11.1859,25.1844,1.47198,0.0515706,0.000737241,0.000737241
5,33.2799,3.33365,15.7246,4.36612,1.48166,0.30045,0.31954,0.26069,0.10117,0,0,0,0,3.33941,7.59543,9.13967,1.42823,0.0392578,0.000924422,0.000924422
6,39.8464,3.33097,15.595,5.40177,1.47858,0.00708,0.01761,0.0026,0.00061,0,0,0,0,3.88292,48.7902,33.9374,1.97518,0.0269447,0.00111141,0.00111141
7,45.5663,3.38368,5.33539,3.56112,1.48962,0.00708,0.01761,0.0026,0.00061,0,0,0,0,3.88292,48.7902,33.9374,1.97518,0.0146315,0.00129817,0.00129817
8,50.9465,3.30685,5.49561,3.49894,1.51099,0.00708,0.01761,0.0026,0.00061,0,0,0,0,3.88292,48.7902,33.9374,1.97518,0.00231799,0.00148465,0.00148465
9,56.8482,3.34886,5.95861,3.80251,1.5538,0.06148,0.13393,0.05707,0.02335,0.03689,0.08036,0.02822,0.00771,3.76762,10.7934,inf,2.34258,0.00149625,0.00149625,0.00149625
10,62.8438,3.26654,6.08319,3.78641,1.53791,0.06148,0.13393,0.05707,0.02335,0.03689,0.08036,0.02822,0.00771,3.76762,10.7934,inf,2.34258,0.00149526,0.00149526,0.00149526
11,69.2295,3.69918,10.5436,3.26739,1.78934,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00149415,0.00149415,0.00149415
12,75.2359,3.85433,8.65943,3.07533,1.88809,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00149292,0.00149292,0.00149292
13,81.3242,3.89596,11.92,3.11167,1.87616,0.00098,0.00893,0.00051,0.00013,0,0,0,0,4.10741,20.489,4.47032,1.8424,0.00149157,0.00149157,0.00149157
14,87.2927,3.9084,12.6857,3.06379,1.88489,0.00098,0.00893,0.00051,0.00013,0,0,0,0,4.10741,20.489,4.47032,1.8424,0.00149011,0.00149011,0.00149011
15,93.903,3.92245,10.8793,3.07529,1.90382,0.00393,0.02232,0.00214,0.0003,0,0,0,0,4.01141,5.30297,3.21125,1.79139,0.00148854,0.00148854,0.00148854
16,100.3,3.9013,9.56392,3.05943,1.87883,0.00393,0.02232,0.00214,0.0003,0,0,0,0,4.01141,5.30297,3.21125,1.79139,0.00148685,0.00148685,0.00148685
17,106.886,3.88565,7.35861,3.03126,1.79575,0,0,0,0,0,0,0,0,4.44853,48.4956,inf,3.42746,0.00148504,0.00148504,0.00148504
18,113.109,3.83347,5.42091,3.05462,1.69772,0,0,0,0,0,0,0,0,4.44853,48.4956,inf,3.42746,0.00148312,0.00148312,0.00148312
19,119.18,3.89164,5.38068,3.0323,1.71989,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00148109,0.00148109,0.00148109
20,124.841,4.00753,5.41387,3.18567,1.73982,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00147894,0.00147894,0.00147894
21,130.566,3.89235,5.34376,3.04562,1.68135,0,0,0,0,0,0,0,0,5.15828,12.5727,inf,7.56225,0.00147667,0.00147667,0.00147667
22,136.556,3.86782,5.3558,2.83357,1.56065,0,0,0,0,0,0,0,0,5.15828,12.5727,inf,7.56225,0.0014743,0.0014743,0.0014743
23,142.311,3.97105,5.41485,2.80054,1.54638,0,0,0,0,0,0,0,0,5.15828,12.5727,inf,7.56225,0.00147181,0.00147181,0.00147181
24,148.277,3.48421,5.11087,2.76926,1.59053,0,0,0,0,0,0,0,0,4.68796,9.33965,inf,1.8755,0.0014692,0.0014692,0.0014692
25,154.12,3.4931,5.05883,2.82443,1.6017,0,0,0,0,0,0,0,0,4.68796,9.33965,inf,1.8755,0.00146649,0.00146649,0.00146649
26,160.348,3.34842,4.97316,2.50994,1.47898,0.32487,0.04464,0.03631,0.00722,0.0018,0.00893,0.00096,0.0001,4.21336,6.42596,inf,1.79792,0.00146366,0.00146366,0.00146366
27,166.649,3.4969,5.06394,2.47069,1.44852,0.32487,0.04464,0.03631,0.00722,0.0018,0.00893,0.00096,0.0001,4.21336,6.42596,inf,1.79792,0.00146072,0.00146072,0.00146072
28,173.028,3.40629,5.01557,2.2972,1.39438,0.31129,0.10714,0.06686,0.01718,0.2875,0.07143,0.02507,0.0059,3.91844,5.5734,70.6376,1.69339,0.00145767,0.00145767,0.00145767
29,179.406,3.37004,4.96587,2.22209,1.37901,0.31129,0.10714,0.06686,0.01718,0.2875,0.07143,0.02507,0.0059,3.91844,5.5734,70.6376,1.69339,0.00145451,0.00145451,0.00145451
30,185.519,3.34683,4.94369,2.18907,1.35501,0.61029,0.13393,0.1353,0.03748,0.61534,0.08929,0.0945,0.02977,3.73858,6.1395,4.99915,1.46627,0.00145124,0.00145124,0.00145124
31,191.388,3.27938,4.93552,2.21328,1.33962,0.61029,0.13393,0.1353,0.03748,0.61534,0.08929,0.0945,0.02977,3.73858,6.1395,4.99915,1.46627,0.00144786,0.00144786,0.00144786
32,197.415,3.34002,4.93545,2.21324,1.3309,0.65874,0.11419,0.03342,0.01415,0.62072,0.08388,0.02189,0.01325,3.68719,6.78145,4.99903,1.47801,0.00144437,0.00144437,0.00144437
33,203.681,3.17792,4.8502,1.95195,1.31173,0.65874,0.11419,0.03342,0.01415,0.62072,0.08388,0.02189,0.01325,3.68719,6.78145,4.99903,1.47801,0.00144077,0.00144077,0.00144077
34,209.967,3.21804,4.94388,1.97977,1.33933,0.00043,0.00893,0.00022,2e-05,0.00043,0.00893,0.00022,9e-05,3.60181,6.05537,18.6664,1.80078,0.00143707,0.00143707,0.00143707
35,216.228,3.17577,4.88206,1.97983,1.36427,0.00043,0.00893,0.00022,2e-05,0.00043,0.00893,0.00022,9e-05,3.60181,6.05537,18.6664,1.80078,0.00143325,0.00143325,0.00143325
36,222.421,3.20749,4.91384,1.96292,1.35018,0.69728,0.24057,0.22516,0.07369,0.70861,0.11959,0.11424,0.04271,3.42624,5.04552,2.12512,1.60198,0.00142933,0.00142933,0.00142933
37,228.74,3.09826,4.77371,1.86793,1.33199,0.69728,0.24057,0.22516,0.07369,0.70861,0.11959,0.11424,0.04271,3.42624,5.04552,2.12512,1.60198,0.00142531,0.00142531,0.00142531
38,235.085,3.15574,4.74979,1.92425,1.35473,0.48382,0.29719,0.24536,0.08593,0.95127,0.09821,0.11726,0.035,3.35856,5.22121,2.38764,1.40108,0.00142118,0.00142118,0.00142118
39,241.328,3.03923,4.68949,1.83144,1.26951,0.48382,0.29719,0.24536,0.08593,0.95127,0.09821,0.11726,0.035,3.35856,5.22121,2.38764,1.40108,0.00141694,0.00141694,0.00141694
40,247.888,3.08297,4.72292,1.84913,1.29233,0.48382,0.29719,0.24536,0.08593,0.95127,0.09821,0.11726,0.035,3.35856,5.22121,2.38764,1.40108,0.0014126,0.0014126,0.0014126
41,254.649,3.15547,4.68484,1.8524,1.29593,0.48224,0.31879,0.26555,0.08656,0.93354,0.125,0.15713,0.05746,3.31386,5.07237,2.21218,1.37536,0.00140816,0.00140816,0.00140816
42,261.17,3.16346,4.66136,1.83543,1.28193,0.48224,0.31879,0.26555,0.08656,0.93354,0.125,0.15713,0.05746,3.31386,5.07237,2.21218,1.37536,0.00140361,0.00140361,0.00140361
43,267.376,3.10565,4.63881,1.76594,1.24125,0.22905,0.33734,0.28306,0.11377,0.41464,0.13393,0.16844,0.03576,3.08842,4.93888,2.0503,1.28861,0.00139896,0.00139896,0.00139896
44,273.644,3.07162,4.6608,1.79462,1.24151,0.22905,0.33734,0.28306,0.11377,0.41464,0.13393,0.16844,0.03576,3.08842,4.93888,2.0503,1.28861,0.00139421,0.00139421,0.00139421
45,280.231,3.05037,4.59097,1.73347,1.25895,0.25289,0.37124,0.31005,0.11349,0.68158,0.16121,0.18647,0.05125,3.12594,4.94684,1.7412,1.29508,0.00138936,0.00138936,0.00138936
46,286.596,2.92478,4.50419,1.71256,1.26716,0.25289,0.37124,0.31005,0.11349,0.68158,0.16121,0.18647,0.05125,3.12594,4.94684,1.7412,1.29508,0.00138441,0.00138441,0.00138441
47,293.178,2.93817,4.48189,1.68125,1.25228,0.33009,0.33027,0.31047,0.14115,0.20094,0.19139,0.15193,0.03556,3.06324,4.88973,1.60129,1.30964,0.00137936,0.00137936,0.00137936
48,299.559,2.8161,4.41348,1.62056,1.25011,0.33009,0.33027,0.31047,0.14115,0.20094,0.19139,0.15193,0.03556,3.06324,4.88973,1.60129,1.30964,0.00137422,0.00137422,0.00137422
49,306.632,2.86876,4.45093,1.66179,1.24971,0.31236,0.35189,0.32231,0.13898,0.33684,0.23816,0.22895,0.0682,3.02137,4.81055,1.55855,1.27352,0.00136897,0.00136897,0.00136897
50,313.547,2.84593,4.43378,1.58052,1.23993,0.31236,0.35189,0.32231,0.13898,0.33684,0.23816,0.22895,0.0682,3.02137,4.81055,1.55855,1.27352,0.00136363,0.00136363,0.00136363
51,319.847,2.75914,4.40519,1.60434,1.24333,0.36631,0.38899,0.35156,0.14743,0.28681,0.21516,0.18758,0.05597,3.05582,4.73736,1.54919,1.28642,0.0013582,0.0013582,0.0013582
52,325.775,2.90896,4.40773,1.62506,1.23422,0.36631,0.38899,0.35156,0.14743,0.28681,0.21516,0.18758,0.05597,3.05582,4.73736,1.54919,1.28642,0.00135266,0.00135266,0.00135266
53,331.922,2.94962,4.3939,1.68839,1.24828,0.64125,0.33734,0.38154,0.16022,0.51267,0.23449,0.23619,0.0624,2.8933,4.79035,1.44016,1.25792,0.00134704,0.00134704,0.00134704
54,337.964,2.78179,4.35174,1.55964,1.2205,0.64125,0.33734,0.38154,0.16022,0.51267,0.23449,0.23619,0.0624,2.8933,4.79035,1.44016,1.25792,0.00134132,0.00134132,0.00134132
55,344.593,2.85531,4.39177,1.56123,1.22923,0.64125,0.33734,0.38154,0.16022,0.51267,0.23449,0.23619,0.0624,2.8933,4.79035,1.44016,1.25792,0.00133551,0.00133551,0.00133551
56,351.272,2.78704,4.43911,1.48456,1.22126,0.70059,0.28942,0.38198,0.16025,0.5953,0.19008,0.23627,0.07634,2.927,4.78526,1.41293,1.25516,0.00132961,0.00132961,0.00132961
